left_model,left_prompt,right_model,right_prompt,left_family,right_family,relation,n,n11,n10,n01,n00,joint_error_rate,conditional_coerror_left_to_right,conditional_coerror_right_to_left,conditional_coerror_symmetric,error_phi,error_cooccurrence_lift
qwen3vl_32b,rules_first,internvl3_8b,schema_first,Qwen3-VL,InternVL3,between_family,84,5,4,15,60,0.05952380952380952,0.5555555555555556,0.25,0.4027777777777778,0.25819888974716115,2.3333333333333335
qwen3vl_32b,rules_first,llava_onevision_7b,canonical,Qwen3-VL,LLaVA-OneVision,between_family,84,7,2,36,39,0.08333333333333333,0.7777777777777778,0.16279069767441862,0.4702842377260982,0.18425446246680122,1.5193798449612406
qwen3vl_32b,rules_first,llava_onevision_7b,wrapper_paraphrase,Qwen3-VL,LLaVA-OneVision,between_family,84,7,2,35,40,0.08333333333333333,0.7777777777777778,0.16666666666666666,0.4722222222222222,0.19245008972987526,1.5555555555555556
qwen3vl_32b,rules_first,llava_onevision_7b,rules_first,Qwen3-VL,LLaVA-OneVision,between_family,84,7,2,49,26,0.08333333333333333,0.7777777777777778,0.125,0.4513888888888889,0.08164965809277261,1.1666666666666667
qwen3vl_32b,rules_first,llava_onevision_7b,schema_first,Qwen3-VL,LLaVA-OneVision,between_family,84,7,2,42,33,0.08333333333333333,0.7777777777777778,0.14285714285714285,0.46031746031746035,0.13662601021279464,1.3333333333333333
qwen3vl_32b,schema_first,internvl3_8b,canonical,Qwen3-VL,InternVL3,between_family,84,13,4,14,53,0.15476190476190477,0.7647058823529411,0.48148148148148145,0.6230936819172113,0.47810417710681796,2.3790849673202614
qwen3vl_32b,schema_first,internvl3_8b,wrapper_paraphrase,Qwen3-VL,InternVL3,between_family,84,13,4,33,34,0.15476190476190477,0.7647058823529411,0.2826086956521739,0.5236572890025575,0.21969952484201727,1.3964194373401533
qwen3vl_32b,schema_first,internvl3_8b,rules_first,Qwen3-VL,InternVL3,between_family,84,13,4,1,66,0.15476190476190477,0.7647058823529411,0.9285714285714286,0.8466386554621849,0.8083193416177561,4.588235294117648
qwen3vl_32b,schema_first,internvl3_8b,schema_first,Qwen3-VL,InternVL3,between_family,84,10,7,10,57,0.11904761904761904,0.5882352941176471,0.5,0.5441176470588236,0.41409802336975204,2.4705882352941173
qwen3vl_32b,schema_first,llava_onevision_7b,canonical,Qwen3-VL,LLaVA-OneVision,between_family,84,13,4,30,37,0.15476190476190477,0.7647058823529411,0.3023255813953488,0.533515731874145,0.2547529276776131,1.4938440492476062
qwen3vl_32b,schema_first,llava_onevision_7b,wrapper_paraphrase,Qwen3-VL,LLaVA-OneVision,between_family,84,13,4,29,38,0.15476190476190477,0.7647058823529411,0.30952380952380953,0.5371148459383753,0.2666739829256819,1.5294117647058825
qwen3vl_32b,schema_first,llava_onevision_7b,rules_first,Qwen3-VL,LLaVA-OneVision,between_family,84,13,4,43,24,0.15476190476190477,0.7647058823529411,0.23214285714285715,0.49842436974789917,0.10475943427376404,1.147058823529412
qwen3vl_32b,schema_first,llava_onevision_7b,schema_first,Qwen3-VL,LLaVA-OneVision,between_family,84,13,4,36,31,0.15476190476190477,0.7647058823529411,0.2653061224489796,0.5150060024009604,0.1853129799536994,1.3109243697478992
internvl3_8b,canonical,internvl3_8b,wrapper_paraphrase,InternVL3,InternVL3,within_family,84,27,0,19,38,0.32142857142857145,1.0,0.5869565217391305,0.7934782608695652,0.6255432421712243,1.826086956521739
internvl3_8b,canonical,internvl3_8b,rules_first,InternVL3,InternVL3,within_family,84,14,13,0,57,0.16666666666666666,0.5185185185185185,1.0,0.7592592592592593,0.6497862896539309,3.1111111111111107
internvl3_8b,canonical,internvl3_8b,schema_first,InternVL3,InternVL3,within_family,84,16,11,4,53,0.19047619047619047,0.5925925925925926,0.8,0.6962962962962963,0.5728379132475443,2.4888888888888885
internvl3_8b,canonical,llava_onevision_7b,canonical,InternVL3,LLaVA-OneVision,between_family,84,24,3,19,38,0.2857142857142857,0.8888888888888888,0.5581395348837209,0.7235142118863049,0.5190636886508051,1.7364341085271318
internvl3_8b,canonical,llava_onevision_7b,wrapper_paraphrase,InternVL3,LLaVA-OneVision,between_family,84,24,3,18,39,0.2857142857142857,0.8888888888888888,0.5714285714285714,0.7301587301587301,0.5353033790313108,1.7777777777777775
internvl3_8b,canonical,llava_onevision_7b,rules_first,InternVL3,LLaVA-OneVision,between_family,84,24,3,32,25,0.2857142857142857,0.8888888888888888,0.42857142857142855,0.6587301587301587,0.3244428422615251,1.3333333333333333
internvl3_8b,canonical,llava_onevision_7b,schema_first,InternVL3,LLaVA-OneVision,between_family,84,24,3,25,32,0.2857142857142857,0.8888888888888888,0.4897959183673469,0.6893424036281179,0.4265617038812147,1.5238095238095235
