edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks
E534,P153,P062,3,2,0+2
E535,P153,P103,3,2,1+2
E536,P154,P020,4,3,0+1
E537,P154,P064,4,3,0+2
E538,P154,P104,4,3,1+2
E539,P154,P151,4,3,0+3
E540,P154,P152,4,3,1+3
E541,P154,P153,4,3,2+3
E542,P155,P021,4,3,0+1
E543,P155,P068,4,3,0+2
E544,P155,P105,4,3,1+2
E545,P155,P143,4,3,0+3
E546,P155,P147,4,3,1+3
E547,P155,P151,4,3,2+3
E548,P156,P021,4,3,0+1
E549,P156,P069,4,3,0+2
E550,P156,P106,4,3,1+2
E551,P156,P144,4,3,0+3
E552,P156,P148,4,3,1+3
E553,P156,P152,4,3,2+3
E554,P157,P022,4,3,0+1
E555,P157,P068,4,3,0+2
E556,P157,P106,4,3,1+2
E557,P157,P145,4,3,0+3
E558,P157,P149,4,3,1+3
E559,P157,P153,4,3,2+3
E560,P158,P023,4,3,0+1
E561,P158,P070,4,3,0+2
E562,P158,P107,4,3,1+2
E563,P158,P143,4,3,0+3
E564,P158,P148,4,3,1+3
E565,P158,P153,4,3,2+3
E566,P159,P024,5,4,0+1
E567,P159,P071,5,4,0+2
E568,P159,P108,5,4,1+2
E569,P159,P146,5,4,0+3
E570,P159,P150,5,4,1+3
E571,P159,P154,5,4,2+3
E572,P159,P155,5,4,0+4
E573,P159,P156,5,4,1+4
E574,P159,P157,5,4,2+4
E575,P159,P158,5,4,3+4
E576,P160,P025,3,2,0+1
E577,P160,P052,3,2,0+2
E578,P160,P099,3,2,1+2
E579,P161,P025,3,2,0+1
E580,P161,P053,3,2,0+2
E581,P161,P100,3,2,1+2
E582,P162,P026,3,2,0+1
E583,P162,P052,3,2,0+2
E584,P162,P100,3,2,1+2
E585,P163,P027,4,3,0+1
E586,P163,P054,4,3,0+2
E587,P163,P101,4,3,1+2
E588,P163,P160,4,3,0+3
E589,P163,P161,4,3,1+3
E590,P163,P162,4,3,2+3
E591,P164,P025,3,2,0+1
E592,P164,P055,3,2,0+2
E593,P164,P102,3,2,1+2
E594,P165,P025,3,2,0+1
E595,P165,P056,3,2,0+2
E596,P165,P103,3,2,1+2
E597,P166,P026,3,2,0+1
E598,P166,P055,3,2,0+2
E599,P166,P103,3,2,1+2
E600,P167,P027,4,3,0+1
E601,P167,P057,4,3,0+2
E602,P167,P104,4,3,1+2
E603,P167,P164,4,3,0+3
E604,P167,P165,4,3,1+3
E605,P167,P166,4,3,2+3
E606,P168,P028,3,2,0+1
E607,P168,P052,3,2,0+2
E608,P168,P102,3,2,1+2
E609,P169,P028,3,2,0+1
E610,P169,P053,3,2,0+2
E611,P169,P103,3,2,1+2
E612,P170,P029,3,2,0+1
E613,P170,P052,3,2,0+2
E614,P170,P103,3,2,1+2
