method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
product_evidence_fusion,0.49,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.5,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.51,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.52,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.53,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.54,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.55,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.56,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.57,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.58,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.59,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
product_evidence_fusion,0.6,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
nested_evidential_composition,0.01,31200.0,319.0,0.0,319.0,0.010224358974358975,0.0,0.0,0.010224358974358975
nested_evidential_composition,0.02,31200.0,613.0,0.0,613.0,0.019647435897435898,0.0,0.0,0.019647435897435898
nested_evidential_composition,0.03,31200.0,926.0,0.0,926.0,0.02967948717948718,0.0,0.0,0.02967948717948718
nested_evidential_composition,0.04,31200.0,1247.0,0.0,1247.0,0.03996794871794872,0.0,0.0,0.03996794871794872
nested_evidential_composition,0.05,31200.0,1549.0,0.0,1549.0,0.0496474358974359,0.0,0.0,0.0496474358974359
nested_evidential_composition,0.06,31200.0,1850.0,0.0,1850.0,0.05929487179487179,0.0,0.0,0.05929487179487179
nested_evidential_composition,0.07,31200.0,2185.0,0.0,2185.0,0.07003205128205128,0.0,0.0,0.07003205128205128
nested_evidential_composition,0.08,31200.0,2483.0,0.0,2483.0,0.07958333333333334,0.0,0.0,0.07958333333333334
nested_evidential_composition,0.09,31200.0,2788.0,0.0,2788.0,0.08935897435897436,0.0,0.0,0.08935897435897436
nested_evidential_composition,0.1,31200.0,3087.0,0.0,3087.0,0.09894230769230769,0.0,0.0,0.09894230769230769
nested_evidential_composition,0.11,31200.0,3425.0,0.0,3425.0,0.10977564102564102,0.0,0.0,0.10977564102564102
