method,target,n,admitted,wrong,correct,coverage,wrong_all,correct_all,wrong_admitted
nested_evidential_composition,0.36,31200,11243,3678,7565,0.3603525641025641,0.11788461538461538,0.24246794871794872,0.32713688517299655
nested_evidential_composition,0.37,31200,11541,3946,7595,0.36990384615384614,0.12647435897435896,0.24342948717948718,0.341911446148514
nested_evidential_composition,0.38,31200,11854,4224,7630,0.37993589743589745,0.13538461538461538,0.24455128205128204,0.35633541420617515
nested_evidential_composition,0.39,31200,12159,4493,7666,0.38971153846153844,0.14400641025641026,0.24570512820512821,0.36952051977958716
nested_evidential_composition,0.4,31200,12493,4799,7694,0.40041666666666664,0.15381410256410255,0.2466025641025641,0.38413511566477226
nested_evidential_composition,0.41,31200,12788,5063,7725,0.40987179487179487,0.16227564102564102,0.24759615384615385,0.3959180481701595
nested_evidential_composition,0.42,31200,13106,5344,7762,0.42006410256410254,0.1712820512820513,0.24878205128205128,0.40775217457652985
nested_evidential_composition,0.43,31200,13420,5627,7793,0.43012820512820515,0.1803525641025641,0.24977564102564104,0.41929955290611026
nested_evidential_composition,0.44,31200,13714,5891,7823,0.4395512820512821,0.18881410256410255,0.2507371794871795,0.42956103252151084
nested_evidential_composition,0.45,31200,14043,6176,7867,0.45009615384615387,0.19794871794871796,0.2521474358974359,0.43979206722210357
nested_evidential_composition,0.46,31200,14347,6434,7913,0.4598397435897436,0.2062179487179487,0.25362179487179487,0.44845612323133754
nested_evidential_composition,0.47,31200,14667,6714,7953,0.47009615384615383,0.21519230769230768,0.25490384615384615,0.4577623235835549
nested_evidential_composition,0.48,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.49,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.5,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.51,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.52,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.53,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.54,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.55,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.56,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.57,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.58,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.59,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
nested_evidential_composition,0.6,31200,14730,6775,7955,0.4721153846153846,0.2171474358974359,0.2549679487179487,0.45994568906992533
cautious_evidence_fusion,0.01,31200,311,2,309,0.009967948717948719,6.41025641025641e-05,0.009903846153846154,0.006430868167202572
cautious_evidence_fusion,0.02,31200,624,29,595,0.02,0.0009294871794871795,0.019070512820512822,0.046474358974358976
cautious_evidence_fusion,0.03,31200,940,73,867,0.03012820512820513,0.00233974358974359,0.02778846153846154,0.07765957446808511
cautious_evidence_fusion,0.04,31200,1238,114,1124,0.03967948717948718,0.003653846153846154,0.03602564102564103,0.09208400646203554
cautious_evidence_fusion,0.05,31200,1559,156,1403,0.04996794871794872,0.005,0.044967948717948715,0.10006414368184734
cautious_evidence_fusion,0.06,31200,1863,192,1671,0.05971153846153846,0.006153846153846154,0.053557692307692306,0.10305958132045089
cautious_evidence_fusion,0.07,31200,2183,219,1964,0.06996794871794872,0.007019230769230769,0.06294871794871795,0.10032065964269354
cautious_evidence_fusion,0.08,31200,2490,245,2245,0.0798076923076923,0.007852564102564102,0.0719551282051282,0.09839357429718876
cautious_evidence_fusion,0.09,31200,2810,258,2552,0.09006410256410256,0.00826923076923077,0.0817948717948718,0.09181494661921709
cautious_evidence_fusion,0.1,31200,3115,276,2839,0.0998397435897436,0.008846153846153846,0.09099358974358975,0.0886035313001605
cautious_evidence_fusion,0.11,31200,3424,282,3142,0.10974358974358975,0.009038461538461539,0.10070512820512821,0.08235981308411215
cautious_evidence_fusion,0.12,31200,3746,295,3451,0.12006410256410256,0.009455128205128204,0.11060897435897436,0.0787506673785371
cautious_evidence_fusion,0.13,31200,4047,304,3743,0.12971153846153846,0.009743589743589744,0.11996794871794872,0.07511737089201878
cautious_evidence_fusion,0.14,31200,4370,313,4057,0.14006410256410257,0.010032051282051282,0.13003205128205128,0.07162471395881007
cautious_evidence_fusion,0.15,31200,4670,321,4349,0.14967948717948718,0.010288461538461538,0.13939102564102565,0.06873661670235547
cautious_evidence_fusion,0.16,31200,4988,329,4659,0.15987179487179487,0.010544871794871794,0.14932692307692308,0.06595829991980753
cautious_evidence_fusion,0.17,31200,5305,466,4839,0.1700320512820513,0.014935897435897436,0.15509615384615386,0.08784165881244109
cautious_evidence_fusion,0.18,31200,5612,716,4896,0.17987179487179486,0.02294871794871795,0.15692307692307692,0.12758374910905204
cautious_evidence_fusion,0.19,31200,5930,984,4946,0.19006410256410255,0.031538461538461536,0.158525641025641,0.16593591905564925
