method,arm,metric,donor_macro,seed_sd,seed_min,seed_max,seeds,donors,records,pair_id,support_low,support_high
PACT,registered_copy_m8,brier,0.1256274865496153,0.00046637033561211565,0.12506285746682513,0.12608270570157287,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,registered_copy_m8,ece_10bin,0.2866648710316639,0.001557467246533946,0.2845204405488136,0.2887427239534937,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,registered_copy_m8,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,registered_copy_m8,posterior_l1_from_native,2.4575249243004772e-20,1.382800592036895e-20,5.782411586589357e-21,4.0476881106125495e-20,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,registered_copy_m8,budget_ratio,1.0,0.0,1.0,1.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,registered_copy_m8,top_class_flip_rate,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,ncsAURC,0.0024423407529732544,6.675164146024339e-05,0.0023472777520881995,0.002492756336084151,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,accuracy,0.9725000000000001,0.0005103103630797952,0.9720833333333333,0.9733333333333333,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,macro_f1,0.9725180093852683,0.000511798705662692,0.9720954269256813,0.9733511522232062,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,nll,0.31514306456089775,0.001075435964772735,0.3137643217588418,0.31605206211211095,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,brier,0.1016207933188353,0.0004955941515172211,0.1009960970447566,0.10204317139424035,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,ece_10bin,0.20618750057128388,0.0006783568460995226,0.20544258217689185,0.20727950374029278,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,posterior_l1_from_native,0.21427806200789296,0.0009453376266271947,0.21309956261193994,0.2156781104409068,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,budget_ratio,2.1666666666666665,2.220446049250313e-16,2.1666666666666665,2.166666666666667,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,false_split_m8,top_class_flip_rate,0.01791666666666667,0.0014129854131510978,0.01625,0.019583333333333335,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,ncsAURC,0.0182270557832126,0.004708072658485361,0.01152937077493966,0.024823460890152003,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,accuracy,0.9145,0.020186629238186305,0.89,0.9399999999999998,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,macro_f1,0.912445674188967,0.022887608715831762,0.8848988980975186,0.9407703172340655,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,nll,2.0435557032835296,0.00960669400160903,2.0289907267550187,2.052467571044488,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,brier,0.8275441905338303,0.002966330989176845,0.8230229109697585,0.8307798072955016,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,ece_10bin,0.7751014199936173,0.019210187855203453,0.7516061212143209,0.7981149513365948,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,posterior_l1_from_native,1.1370417256279266,0.004289415211254153,1.1301186378340324,1.1407852109250214,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,budget_ratio,0.016109334144648862,0.0007606094800928096,0.015242027677009924,0.017285204574874872,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,all_view_merge,top_class_flip_rate,0.07999999999999999,0.0187082869338697,0.0575,0.1025,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,ncsAURC,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,accuracy,0.983,0.001118033988749871,0.9825,0.985,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,macro_f1,0.9829935119728781,0.0011192576851353348,0.9824929647192177,0.9849957009875193,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,nll,0.07397421846834042,0.0008691533296649138,0.0729721594287588,0.07536072598392586,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,brier,0.028409638373935415,0.00034871810229389306,0.02798396785893165,0.028921925742910387,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,ece_10bin,0.019428892523181363,0.0020805082218933557,0.017006316918925787,0.022341863374571332,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,posterior_l1_from_native,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,budget_ratio,nan,nan,nan,nan,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,native,top_class_flip_rate,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
product,registered_copy_m8,ncsAURC,0.0009022344204041296,1.4062872081828039e-05,0.0008841643709918899,0.0009229784775682226,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
