pairing,is_registered,accuracy,negative_log_likelihood,unnormalized_multiclass_brier,adaptive_ece_10,ncsAURC,mean_evidence_budget,mean_budget_ratio_to_registered,mean_posterior_l1_drift
qwen3vl_8b+llava_onevision_7b;qwen3vl_32b+llava_onevision_0_5b;internvl3_2b+smolvlm2_2_2b;internvl3_8b+smolvlm2_0_5b,False,0.8661347517730497,0.5798969881332585,0.3882641284012707,0.2950062074572728,0.16454579980065603,5.569348558655554,0.8029427373719283,0.02234667399650977
qwen3vl_8b+llava_onevision_7b;qwen3vl_32b+smolvlm2_0_5b;internvl3_2b+internvl3_8b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5826980287678524,0.39095209723572527,0.2968816771215271,0.16449473657937885,5.796654051829002,0.836222060353961,0.018674669225998933
qwen3vl_8b+llava_onevision_7b;qwen3vl_32b+smolvlm2_0_5b;internvl3_2b+llava_onevision_0_5b;internvl3_8b+smolvlm2_2_2b,False,0.8661347517730497,0.5814741545766346,0.38976985248955526,0.29607378945302565,0.16446814736885315,5.665689476385012,0.8164656461340912,0.02048167379363293
qwen3vl_8b+llava_onevision_7b;qwen3vl_32b+smolvlm2_0_5b;internvl3_2b+smolvlm2_2_2b;internvl3_8b+llava_onevision_0_5b,False,0.8661347517730497,0.5798715409236669,0.38824126186095415,0.29503951656824595,0.16451374284607836,5.581363253182177,0.804327418403926,0.022282924040904335
qwen3vl_8b+llava_onevision_7b;qwen3vl_32b+smolvlm2_2_2b;internvl3_2b+internvl3_8b;llava_onevision_0_5b+smolvlm2_0_5b,False,0.8661347517730497,0.5838244262864607,0.3920384174986891,0.29771374198477,0.16453650331505923,5.9063009084989435,0.8512923381573065,0.017016030245939992
qwen3vl_8b+llava_onevision_7b;qwen3vl_32b+smolvlm2_2_2b;internvl3_2b+llava_onevision_0_5b;internvl3_8b+smolvlm2_0_5b,False,0.8661347517730497,0.5817596425710218,0.39005409322595647,0.2963672372329996,0.1645558192491144,5.731060843550954,0.8251704855485692,0.01964182091795757
qwen3vl_8b+llava_onevision_7b;qwen3vl_32b+smolvlm2_2_2b;internvl3_2b+smolvlm2_0_5b;internvl3_8b+llava_onevision_0_5b,False,0.8661347517730497,0.5810522581051203,0.3893804436884221,0.2959130379719552,0.16458493806541602,5.6942721865667965,0.8198581482687797,0.020550729829466156
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+internvl3_2b;internvl3_8b+llava_onevision_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5836695994813782,0.3918808853487116,0.2973493466633067,0.16434115070766622,5.78705632491899,0.8379462849525576,0.020675727658761956
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+internvl3_2b;internvl3_8b+llava_onevision_7b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5851405624365462,0.3933043197176823,0.2983210854548922,0.1644149939591171,5.921655071905963,0.8578926638754092,0.021033190930263988
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+internvl3_2b;internvl3_8b+smolvlm2_2_2b;llava_onevision_0_5b+llava_onevision_7b,False,0.8661347517730497,0.5852357531258915,0.3933750720190593,0.29836025725733045,0.16445271243984413,5.871273268137776,0.8500698120477745,0.019137400469963043
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+internvl3_8b;internvl3_2b+llava_onevision_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5859904288497759,0.3940623110807618,0.2988482685632046,0.16440532815098755,5.8649345457065,0.8466574732444058,0.015070916669181658
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+internvl3_8b;internvl3_2b+llava_onevision_7b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5888215067306579,0.3967949566849391,0.3008979984482557,0.16406183395048346,6.124279968281931,0.884755336120411,0.014168360855679471
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+internvl3_8b;internvl3_2b+smolvlm2_2_2b;llava_onevision_0_5b+llava_onevision_7b,False,0.8661347517730497,0.5859883471843892,0.39406030446212165,0.2988470348767273,0.16440532815098755,5.864825265722451,0.8466427726094574,0.01507338404213637
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+llava_onevision_0_5b;internvl3_2b+internvl3_8b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5828008121798506,0.39106020144149933,0.2969349895113532,0.16445331018579498,5.80683806818179,0.8381355366973688,0.018484687603203175
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+llava_onevision_0_5b;internvl3_2b+llava_onevision_7b;internvl3_8b+smolvlm2_2_2b,False,0.8661347517730497,0.5846895098188521,0.39286448901520715,0.29836565715335805,0.16402293228174292,5.93521891531323,0.8564769853535044,0.01696290553165156
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+llava_onevision_0_5b;internvl3_2b+smolvlm2_2_2b;internvl3_8b+llava_onevision_7b,False,0.8661347517730497,0.581701111709385,0.3900056308580784,0.29623311339007025,0.16456784376319564,5.7261460165219376,0.8261872736701855,0.019888068434350793
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+llava_onevision_7b;internvl3_2b+internvl3_8b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5844057785802088,0.3926012765442729,0.29790916801167977,0.16447102395037277,5.8995063853879515,0.8531447946629257,0.01984588158284665
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+llava_onevision_7b;internvl3_2b+llava_onevision_0_5b;internvl3_8b+smolvlm2_2_2b,False,0.8661347517730497,0.5833820102841023,0.39160013025546087,0.29723369392097826,0.16434260738061787,5.7685418099439625,0.8333883804430559,0.01918999041092085
qwen3vl_8b+smolvlm2_0_5b;qwen3vl_32b+llava_onevision_7b;internvl3_2b+smolvlm2_2_2b;internvl3_8b+llava_onevision_0_5b,False,0.8661347517730497,0.581795706613226,0.39008710566800997,0.29620982556663566,0.16435106216531126,5.684215586741127,0.8212501527128905,0.020766658476459483
